,drugstore,street,number,neighborhood,city,zip_code,latitude,longitude
173,CORDOBA 12,CORDOBA-PEÑUELA,4103,ZONA INDUSTRIAL,CORDOBA,94690,18.88031,-96.921
174,CORDOBA 13,10,334,CENTRO,CORDOBA,94500,18.89638,-96.93956
175,CORDOBA 14,CORDOBA-FORTIN,410-A,FRACCIONAMIENTO SAN NICOLAS 1RA. SECCION,CORDOBA,94540,18.90033,-96.97151
176,CORDOBA 15,5,113,CENTRO,CORDOBA,94500,18.89306,-96.93379
177,CORDOBA 16,LOPEZ MATEOS,S/N,MEXICO,CORDOBA,94690,18.90101,-96.93032
178,CORDOBA 17,1,110,CENTRO,CORDOBA,94500,18.89131,-96.93102
179,CORDOBA 2,2,1101,CENTRO,CORDOBA,94500,18.89211,-96.93103
180,CORDOBA 5,4,510,CORDOBA CENTRO,CORDOBA,94500,18.89431,-96.93228
181,CORDOBA 6,9,S/N,CORDOBA CENTRO,CORDOBA,94500,18.89563,-96.92928
182,CORDOBA 7,11,1101,CORDOBA CENTRO,CORDOBA,94500,18.88819,-96.93453
183,CORDOBA 8,AVENIDA 6,1105,CORDOBA CENTRO,CORDOBA,94500,18.89363,-96.92964
184,CORDOBA 9,2,117,CENTRO,CORDOBA,94500,18.8946,-96.93395
185,CORUÑA 1,CORUÑA,255,VIADUCTO PIEDAD,CIUDAD DE MEXICO,08200,19.40098,-99.13345
186,CORUÑA 2,DE TLALPAN,498,VIADUCTO PIEDAD,CIUDAD DE MEXICO,08200,19.39922,-99.13692
187,COSAMALOAPAN 1,MIGUEL HIDALGO,S/N,CENTRO,COSAMALOAPAN DE CARPIO,95400,18.36512,-95.7946
188,COSAMALOAPAN 2,HERMENEGILDO GALEANA,MZA 13,COSAMALOAPAN DE CARPIO,COSAMALOAPAN DE CARPIO,95400,18.36665,-95.79945
189,COSAMALOAPAN 3,FRANCISCO I. MADERO,505,COSAMALOAPAN DE CARPIO CENTRO,COSAMALOAPAN DE CARPIO,95400,18.36547,-95.79306
190,COSAMALOAPAN 4,CARRETERA FEDERAL,3310,COSAMALOAPAN DE CARPIO CENTRO,COSAMALOAPAN DE CARPIO,95400,18.36463,-95.78116
191,COSOLEACAQUE,LOPEZ MATEOS,84,GUSTAVO DIAZ ORDAZ,MINATITLAN,96344,18.01307,-94.55581
192,COYOACAN 1,HIDALGO,7,CENTRO COYOACAN,CIUDAD DE MEXICO,04000,19.35019,-99.16289
193,COYOACAN 2,SAN GONZALO,LT 10 MZ 1,SANTA URSULA COAPA,CIUDAD DE MEXICO,04600,19.31116,-99.14925
194,CUAUTITLAN IZCALLI 2,PASEOS DEL BOSQUE,MZ 48,BOSQUES DE MORELOS,CUAUTITLAN IZCALLI,54760,19.62916,-99.23085
195,CUAUTITLAN IZCALLI 3,JORGE JIMENEZ CANTU,S/N,CENTRO URBANO,CUAUTITLAN IZCALLI,54700,19.66936,-99.2094
196,"CUAUTITLAN, JALISCO",GARCIA BARRAGAN,77,CENTRO,CUAUTITLAN DE GARCIA BARRAGAN,48950,19.4526,-104.3583
197,CUERNAVACA 1,RAYON,2,CENTRO,CUERNAVACA,62000,18.92226,-99.23535
198,CUERNAVACA 10,SAN DIEGO,703,VISTA HERMOSA,CUERNAVACA,62290,18.94096,-99.21513
199,CUERNAVACA 13,JOHN F KENNEDY,3-A,LOMAS DE LA SELVA ORIENTE,CUERNAVACA,62253,18.94488,-99.2334
200,CUERNAVACA 15,PLAN DE AYALA,1504,CUAUHNAHUAC,CUERNAVACA,62430,18.92144,-99.20602
201,CUERNAVACA 3,CUAHUNAHUAC,KM 9.8,VILLA DEL DESCANSO,CUERNAVACA,62570,18.89706,-99.16894
202,CUERNAVACA 5,MORELOS SUR PLAZA COMERCIAL DAFNE,1602,CHIPITLAN,CUERNAVACA,62070,18.89974,-99.23107
203,CUERNAVACA 7,EMILIANO ZAPATA,919,BUENAVISTA,CUERNAVACA,62130,18.96089,-99.24637
204,CUICHAPA 1,3,224,CENTRO,CUICHAPA,94920,18.77273,-96.86862
205,"CUITLAHUAC 2, VER.",3,10,CUITLAHUAC CENTRO,CUITLAHUAC,94915,18.81319,-96.72286
206,"CUITLAHUAC 3, VER.",1 (UNO),1501,ALTAMIRANO,CUITLAHUAC,94910,18.81083,-96.71596
207,CUITLAHUAC VER.,2,12,CENTRO,CUITLAHUAC,94910,18.81442,-96.72261
208,CULIACAN 1,ALVARO OBREGON,1638,TIERRA BLANCA,CULIACAN,80030,24.82198,-107.3963
209,CULIACAN 16,INTERNACIONAL AL NORTE ACERA OTE.,3128,HUMAYA INFONAVIT,CULIACAN,80020,24.82009,-107.4191
210,CULIACAN 17,ALVARO OBREGON,6183 SUR,RENATO VEGA ALVARADO,CULIACAN,80199,24.75517,-107.3864
211,CULIACAN 19,EL DORADO,839 NTE,LAS QUINTAS,CULIACAN,80060,24.8146,-107.368
212,CULIACAN 2,ANGEL FLORES PONIENTE,75,CENTRO,CULIACAN,80000,24.8089,-107.3955
213,CULIACAN 20,ALVARO OBREGON,4047 NORTE,VICENTE LOMBARDO TOLEDANO,CULIACAN,80010,24.85143,-107.3939
214,CULIACAN 21,LOLA BELTRAN,3717 PTE,HUMAYA,CULIACAN,80020,24.81095,-107.4401
215,CULIACAN 22,GENERAL PABLO MACIAS VALENZUELA SUR,3740 PTE,ESTELA ORTIZ DE TOLEDO,CULIACAN,80197,24.7623,-107.4234
216,CULIACAN 26,ALCATRAZ,3070 SUR,FRACCIONAMIENTO BUGAMBILIAS,CULIACAN,80145,24.76593,-107.4546
217,CULIACAN 27,JUAN DE DIOS BATIZ,715,MORELOS,CULIACAN,80170,24.78922,-107.4007
